Edge TPU Compiler version 16.0.384591198
Input: /home/linux/TP555_analise_sonolencia/runs_yolov11/detect/train/weights/best_saved_model/best_full_integer_quant.tflite
Output: /home/linux/TP555_analise_sonolencia/runs_yolov11/detect/train/weights/best_saved_model/best_full_integer_quant_edgetpu.tflite

Operator                       Count      Status

MUL                            46         More than one subgraph is not supported
MUL                            34         Mapped to Edge TPU
SUB                            2          More than one subgraph is not supported
ADD                            6          Mapped to Edge TPU
ADD                            11         More than one subgraph is not supported
RESHAPE                        2          Operation is otherwise supported, but not mapped due to some unspecified limitation
RESHAPE                        15         More than one subgraph is not supported
MAX_POOL_2D                    3          Mapped to Edge TPU
TRANSPOSE                      6          More than one subgraph is not supported
TRANSPOSE                      7          Operation is otherwise supported, but not mapped due to some unspecified limitation
STRIDED_SLICE                  13         More than one subgraph is not supported
STRIDED_SLICE                  8          Mapped to Edge TPU
STRIDED_SLICE                  2          Operation is otherwise supported, but not mapped due to some unspecified limitation
PAD                            5          Mapped to Edge TPU
PAD                            2          More than one subgraph is not supported
DEPTHWISE_CONV_2D              6          More than one subgraph is not supported
RESIZE_NEAREST_NEIGHBOR        2          More than one subgraph is not supported
QUANTIZE                       3          More than one subgraph is not supported
CONV_2D                        35         Mapped to Edge TPU
CONV_2D                        174        More than one subgraph is not supported
FULLY_CONNECTED                4          More than one subgraph is not supported
LOGISTIC                       44         More than one subgraph is not supported
LOGISTIC                       34         Mapped to Edge TPU
SPLIT                          1          Mapped to Edge TPU
SPLIT                          4          For example, a fully-connected or softmax layer with 2D output
SPLIT                          1          More than one subgraph is not supported
CONCATENATION                  1          Operation is otherwise supported, but not mapped due to some unspecified limitation
CONCATENATION                  7          Mapped to Edge TPU
CONCATENATION                  15         More than one subgraph is not supported
PACK                           2          More than one subgraph is not supported
SOFTMAX                        2          More than one subgraph is not supported
